latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
11.53042,77.198,338.67,0.46,0.47,2023-01-01,745,N,VIIRS,n,2,299.78,2.97,D,0
12.09422,76.53743,338.62,0.5,0.49,2023-01-01,745,N,VIIRS,n,2,300.68,3.51,D,0
9.35933,77.92355,341.93,0.45,0.47,2023-01-01,745,N,VIIRS,n,2,304.72,3.12,D,0
9.83648,77.89829,332.28,0.44,0.46,2023-01-01,745,N,VIIRS,n,2,301.62,2.12,D,0
10.12674,78.57627,334.13,0.4,0.44,2023-01-01,745,N,VIIRS,n,2,301.73,3.63,D,0
9.62773,78.62904,336.31,0.4,0.44,2023-01-01,745,N,VIIRS,n,2,303.56,3.08,D,0
10.88867,78.23662,335.12,0.4,0.45,2023-01-01,745,N,VIIRS,n,2,303.19,2.12,D,0
11.10771,78.12911,330.1,0.41,0.45,2023-01-01,745,N,VIIRS,n,2,300.1,1.32,D,0
11.14606,77.66707,332.85,0.44,0.46,2023-01-01,745,N,VIIRS,n,2,300.15,2.51,D,0
14.73304,75.8788,332.91,0.49,0.49,2023-01-01,746,N,VIIRS,n,2,302.85,3.61,D,0
14.92682,76.91914,330.07,0.42,0.45,2023-01-01,746,N,VIIRS,n,2,302.67,2.41,D,0
15.00642,77.00011,340.5,0.42,0.45,2023-01-01,746,N,VIIRS,n,2,305.79,4.67,D,0
15.05152,77.06271,333.65,0.41,0.45,2023-01-01,746,N,VIIRS,n,2,300.64,1.96,D,0
16.08267,80.52696,335.5,0.41,0.37,2023-01-01,746,N,VIIRS,n,2,300.66,3.49,D,0
15.86439,79.24704,332.03,0.46,0.39,2023-01-01,746,N,VIIRS,n,2,303.61,2.38,D,0
15.77097,79.62433,343.26,0.44,0.39,2023-01-01,746,N,VIIRS,n,2,300.5,7.51,D,0
15.96336,80.87273,336.99,0.4,0.37,2023-01-01,746,N,VIIRS,n,2,298.83,2.84,D,0
14.93471,75.11436,342.65,0.55,0.51,2023-01-01,746,N,VIIRS,n,2,304.32,12.61,D,0
15.17488,76.68064,331.55,0.43,0.46,2023-01-01,746,N,VIIRS,l,2,303.21,2.4,D,2
14.84571,75.30712,336.79,0.54,0.51,2023-01-01,746,N,VIIRS,n,2,300.41,2.85,D,0
14.94167,75.9866,341.82,0.48,0.48,2023-01-01,746,N,VIIRS,n,2,304.04,5.24,D,0
14.79856,75.31131,340.68,0.54,0.51,2023-01-01,746,N,VIIRS,n,2,300.03,6.13,D,0
16.10756,80.65891,332.57,0.4,0.37,2023-01-01,746,N,VIIRS,n,2,299.01,2.1,D,0
15.96055,79.74284,334.97,0.44,0.38,2023-01-01,746,N,VIIRS,n,2,300.67,4.41,D,0
16.15551,80.69712,336.97,0.4,0.37,2023-01-01,746,N,VIIRS,n,2,297.87,4.29,D,0
16.14886,80.65569,334.86,0.4,0.37,2023-01-01,746,N,VIIRS,n,2,300.61,5.22,D,0
16.15226,80.65512,342.18,0.4,0.37,2023-01-01,746,N,VIIRS,n,2,300.6,5.22,D,0
15.63328,76.79371,330.12,0.42,0.45,2023-01-01,746,N,VIIRS,n,2,303.23,1.49,D,0
16.30799,80.7131,341.99,0.4,0.37,2023-01-01,746,N,VIIRS,n,2,300.8,4.84,D,0
16.30879,80.67435,341.46,0.4,0.37,2023-01-01,746,N,VIIRS,n,2,300.59,4.09,D,0
16.2919,80.50239,343.73,0.41,0.37,2023-01-01,746,N,VIIRS,n,2,303.76,6.71,D,0
16.2913,80.49858,335.68,0.41,0.37,2023-01-01,746,N,VIIRS,n,2,299.21,6.71,D,0
16.29219,80.5023,341.94,0.41,0.37,2023-01-01,746,N,VIIRS,n,2,302.26,10.45,D,0
16.31713,80.59147,331.64,0.41,0.37,2023-01-01,746,N,VIIRS,n,2,300.57,2.05,D,0
16.39079,80.59433,334.17,0.4,0.37,2023-01-01,746,N,VIIRS,n,2,299.52,6.44,D,0
16.42462,80.78528,332.93,0.4,0.37,2023-01-01,746,N,VIIRS,n,2,302.74,1.21,D,0
